Attack category,Attack subcategory,Protocol,Port_Category,Duration_Cat,Emission
Exploits,Miscellaneous,l2tp,Other,Short,l2tp_Other_Short
Exploits,Clientside,tcp,Web,Medium,tcp_Web_Medium
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
Reconnaissance,SunRPC Portmapper (UDP),udp,RPC,Short,udp_RPC_Short
Fuzzers,OSPF,wb-mon,Other,Short,wb-mon_Other_Short
DoS,ICMP,ib,Other,Short,ib_Other_Short
DoS,RDP,rvd,Other,Long,rvd_Other_Long
Backdoor,Unknown,narp,Other,Short,narp_Other_Short
Fuzzers,OSPF,wb-mon,Other,Short,wb-mon_Other_Short
Generic,IXIA,iso-tp4,Other,Short,iso-tp4_Other_Short
DoS,Miscellaneous,sctp,Other,Short,sctp_Other_Short
DoS,Miscellaneous,il,Other,Short,il_Other_Short
Reconnaissance,SunRPC Portmapper (UDP),udp,RPC,Short,udp_RPC_Short
Fuzzers,SMB,udp,Other,Long,udp_Other_Long
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Miscellaneous,il,Other,Short,il_Other_Short
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Generic,IXIA,tcp,Mail,Medium,tcp_Mail_Medium
Fuzzers,PPTP,tcp,Registered,Short,tcp_Registered_Short
Fuzzers,OSPF,secure-vmtp,Other,Short,secure-vmtp_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Miscellaneous,ospf,Other,Medium,ospf_Other_Medium
Generic,IXIA,tcp,Web,Medium,tcp_Web_Medium
Reconnaissance,SCTP,unas,Other,Short,unas_Other_Short
DoS,TCP,crudp,Other,Short,crudp_Other_Short
Exploits,Web Application,tcp,Registered,Short,tcp_Registered_Short
Exploits,Apache,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,OSPF,ospf,Other,Long,ospf_Other_Long
Exploits,Miscellaneous,tcp,Registered,Short,tcp_Registered_Short
Reconnaissance,SunRPC Portmapper (UDP) TCP Service,udp,RPC,Short,udp_RPC_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
DoS,TCP,trunk-2,Other,Short,trunk-2_Other_Short
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,ip,Other,Short,ip_Other_Short
Fuzzers,OSPF,any,Other,Short,any_Other_Short
DoS,IGMP,ipv6-no,Other,Short,ipv6-no_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
DoS,Miscellaneous,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,SMTP,ospf,Other,Long,ospf_Other_Long
Backdoor,Unknown,tcp,Web,Medium,tcp_Web_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
DoS,Browser,tcp,Web,Medium,tcp_Web_Medium
Exploits,Miscellaneous,sctp,Other,Short,sctp_Other_Short
DoS,TCP,unas,Other,Short,unas_Other_Short
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
DoS,Miscellaneous,pnni,Other,Short,pnni_Other_Short
Fuzzers,HTTP,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,Syslog,udp,Other,Short,udp_Other_Short
Exploits,Miscellaneous,swipe,Other,Short,swipe_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Reconnaissance,ICMP,unas,Other,Short,unas_Other_Short
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Generic,IXIA,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,SMB,tcp,Other,Short,tcp_Other_Short
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Reconnaissance,ICMP,micp,Other,Short,micp_Other_Short
Exploits,TCP,bna,Other,Short,bna_Other_Short
Exploits,ICMP,ospf,Other,Long,ospf_Other_Long
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Backup Appliance,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
DoS,TCP,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,idpr,Other,Short,idpr_Other_Short
DoS,NetBIOS/SMB,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,etherip,Other,Short,etherip_Other_Short
Exploits,Miscellaneous,ttp,Other,Short,ttp_Other_Short
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Fuzzers,Syslog,udp,Other,Short,udp_Other_Short
Exploits,Miscellaneous,i-nlsp,Other,Short,i-nlsp_Other_Short
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Exploits,Miscellaneous,tcp,Mail,Medium,tcp_Mail_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Generic,IXIA,tcp,Mail,Medium,tcp_Mail_Medium
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Fuzzers,OSPF,idrp,Other,Short,idrp_Other_Short
DoS,Asterisk,mobile,Other,Short,mobile_Other_Short
Backdoor,Unknown,any,Other,Short,any_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
DoS,Miscellaneous,idpr,Other,Short,idpr_Other_Short
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Exploits,SMB,tcp,Other,Medium,tcp_Other_Medium
Fuzzers,OSPF,micp,Other,Short,micp_Other_Short
Generic,IXIA,tcp,Web,Short,tcp_Web_Short
DoS,Miscellaneous,ipv6-no,Other,Short,ipv6-no_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,SMB,mhrp,Other,Short,mhrp_Other_Short
Fuzzers,OSPF,wb-expak,Other,Short,wb-expak_Other_Short
Exploits,PHP,sun-nd,Other,Short,sun-nd_Other_Short
Exploits,Miscellaneous,idpr,Other,Short,idpr_Other_Short
DoS,Asterisk,ipcomp,Other,Short,ipcomp_Other_Short
Exploits,Miscellaneous,sun-nd,Other,Short,sun-nd_Other_Short
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Exploits,Miscellaneous,tcp,Database,Medium,tcp_Database_Medium
Exploits,Clientside,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,OSPF,unas,Other,Short,unas_Other_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
DoS,RDP,vines,Other,Short,vines_Other_Short
Exploits,Miscellaneous,ospf,Other,Short,ospf_Other_Short
Fuzzers,Syslog,udp,Other,Short,udp_Other_Short
Generic,IXIA,visa,Other,Short,visa_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
DoS,Miscellaneous,ospf,Other,Short,ospf_Other_Short
Reconnaissance,SunRPC Portmapper (UDP),udp,RPC,Short,udp_RPC_Short
DoS,Browser,tcp,Web,Short,tcp_Web_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Miscellaneous,wb-mon,Other,Short,wb-mon_Other_Short
Fuzzers,OSPF,wb-mon,Other,Short,wb-mon_Other_Short
Exploits,Miscellaneous,ospf,Other,Long,ospf_Other_Long
Exploits,Clientside,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,iplt,Other,Short,iplt_Other_Short
Fuzzers,OSPF,pim,Other,Short,pim_Other_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Fuzzers,SMB,udp,Other,Long,udp_Other_Long
Fuzzers,OSPF,unas,Other,Short,unas_Other_Short
Exploits,SMB,sctp,Other,Short,sctp_Other_Short
Exploits,Miscellaneous,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,OSPF,hmp,Other,Short,hmp_Other_Short
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Apache,vines,Other,Short,vines_Other_Short
Exploits,SCADA,any,Other,Short,any_Other_Short
Reconnaissance,HTTP,tcp,Web,Short,tcp_Web_Short
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Generic,IXIA,tcp,Mail,Short,tcp_Mail_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Miscellaneous,leaf-2,Other,Short,leaf-2_Other_Short
Fuzzers,BGP,tcp,Other,Short,tcp_Other_Short
Exploits,PHP,unas,Other,Short,unas_Other_Short
Reconnaissance,HTTP,tcp,Web,Short,tcp_Web_Short
Fuzzers,SMB,tcp,Other,Short,tcp_Other_Short
Exploits,Clientside,tcp,Web,Medium,tcp_Web_Medium
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
DoS,TCP,sun-nd,Other,Short,sun-nd_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Miscellaneous,leaf-2,Other,Short,leaf-2_Other_Short
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Web Application,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,OSPF,unas,Other,Short,unas_Other_Short
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Fuzzers,PPTP,tcp,Registered,Medium,tcp_Registered_Medium
Exploits,Miscellaneous,ipip,Other,Short,ipip_Other_Short
Exploits,Miscellaneous,hmp,Other,Short,hmp_Other_Short
Exploits,Miscellaneous,dgp,Other,Short,dgp_Other_Short
Fuzzers,BGP,tcp,Other,Short,tcp_Other_Short
Exploits,Web Application,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,mobile,Other,Short,mobile_Other_Short
Reconnaissance,ICMP,wsn,Other,Short,wsn_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
DoS,RDP,rsvp,Other,Short,rsvp_Other_Short
Fuzzers,Syslog,udp,Other,Short,udp_Other_Short
Exploits,Miscellaneous,dcn,Other,Short,dcn_Other_Short
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Backdoor,Unknown,emcon,Other,Short,emcon_Other_Short
Exploits,Web Application,tcp,Web,Short,tcp_Web_Short
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Exploits,Apache,unas,Other,Short,unas_Other_Short
Exploits,RTSP,sctp,Other,Short,sctp_Other_Short
Analysis,Port Scanners,il,Other,Short,il_Other_Short
Exploits,Clientside,tcp,Web,Medium,tcp_Web_Medium
Exploits,Miscellaneous,idpr,Other,Short,idpr_Other_Short
Generic,IXIA,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,TCP,rdp,Other,Short,rdp_Other_Short
Exploits,Clientside,i-nlsp,Other,Short,i-nlsp_Other_Short
Exploits,Office Document,tcp,Web,Medium,tcp_Web_Medium
DoS,Miscellaneous,ospf,Other,Medium,ospf_Other_Medium
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Exploits,Miscellaneous,ax.25,Other,Short,ax.25_Other_Short
Exploits,Miscellaneous,vmtp,Other,Short,vmtp_Other_Short
Reconnaissance,ICMP,st2,Other,Medium,st2_Other_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
DoS,Miscellaneous,ospf,Other,Long,ospf_Other_Long
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Fuzzers,BGP,tcp,Other,Short,tcp_Other_Short
Fuzzers,OSPF,sccopmce,Other,Short,sccopmce_Other_Short
Exploits,ICMP,iatp,Other,Short,iatp_Other_Short
Fuzzers,OSPF,ospf,Other,Long,ospf_Other_Long
Fuzzers,SMB,tcp,Other,Short,tcp_Other_Short
Exploits,Miscellaneous,tcp,Database,Medium,tcp_Database_Medium
Exploits,Miscellaneous,sctp,Other,Short,sctp_Other_Short
Exploits,Browser,tcp,Other,Medium,tcp_Other_Medium
Fuzzers,OSPF,swipe,Other,Short,swipe_Other_Short
Exploits,PHP,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,mux,Other,Medium,mux_Other_Medium
Exploits,Web Application,unas,Other,Short,unas_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,RPC,Medium,tcp_RPC_Medium
Fuzzers,DCERPC,tcp,Other,Medium,tcp_Other_Medium
Backdoor,Unknown,ippc,Other,Short,ippc_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,RPC,Medium,tcp_RPC_Medium
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Office Document,tcp,Web,Medium,tcp_Web_Medium
Exploits,SOCKS,tcp,Registered,Medium,tcp_Registered_Medium
DoS,Miscellaneous,ospf,Other,Medium,ospf_Other_Medium
Exploits,Cisco IOS,tcp,Web,Short,tcp_Web_Short
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Exploits,SMTP,iplt,Other,Short,iplt_Other_Short
Backdoor,Unknown,unas,Other,Short,unas_Other_Short
DoS,Miscellaneous,ospf,Other,Long,ospf_Other_Long
Fuzzers,SMB,tcp,Other,Medium,tcp_Other_Medium
Exploits,Miscellaneous,sctp,Other,Short,sctp_Other_Short
Exploits,Browser,tcp,Other,Medium,tcp_Other_Medium
Shellcode,Multiple OS,udp,Registered,Short,udp_Registered_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
DoS,ICMP,unas,Other,Short,unas_Other_Short
Exploits,Browser FTP,tcp,Other,Medium,tcp_Other_Medium
DoS,NetBIOS/SMB,ospf,Other,Long,ospf_Other_Long
Fuzzers,BGP,tcp,Other,Short,tcp_Other_Short
Exploits,Apache,aris,Other,Short,aris_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
DoS,Miscellaneous,ospf,Other,Long,ospf_Other_Long
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Exploits,Browser,tcp,Web,Short,tcp_Web_Short
Generic,IXIA,tcp,Registered,Short,tcp_Registered_Short
Fuzzers,BGP,tcp,Other,Short,tcp_Other_Short
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Reconnaissance,HTTP,tcp,Web,Medium,tcp_Web_Medium
Reconnaissance,SunRPC Portmapper (UDP) UDP Service,udp,RPC,Short,udp_RPC_Short
Fuzzers,OSPF,ospf,Other,Long,ospf_Other_Long
Generic,IXIA,unas,Other,Short,unas_Other_Short
Exploits,Clientside Microsoft,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Browser,unas,Other,Short,unas_Other_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Webserver,tcp,Registered,Medium,tcp_Registered_Medium
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Exploits,Web Application,ipv6-route,Other,Short,ipv6-route_Other_Short
Exploits,Clientside Microsoft Office,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Miscellaneous,tcp,Registered,Medium,tcp_Registered_Medium
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,wsn,Other,Short,wsn_Other_Short
Fuzzers,OSPF,rdp,Other,Short,rdp_Other_Short
Exploits,Clientside,tcp,Web,Medium,tcp_Web_Medium
DoS,NetBIOS/SMB,ospf,Other,Medium,ospf_Other_Medium
Exploits,ICMP,unas,Other,Short,unas_Other_Short
Generic,IXIA,tcp,Mail,Medium,tcp_Mail_Medium
Reconnaissance,ICMP,pim,Other,Short,pim_Other_Short
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Backdoor,Unknown,crudp,Other,Short,crudp_Other_Short
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
Fuzzers,HTTP,udp,Registered,Short,udp_Registered_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Reconnaissance,ICMP,pup,Other,Short,pup_Other_Short
Fuzzers,SMB,tcp,Other,Short,tcp_Other_Short
Fuzzers,PPTP,tcp,Registered,Short,tcp_Registered_Short
Reconnaissance,ICMP,unas,Other,Short,unas_Other_Short
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Miscellaneous,snp,Other,Short,snp_Other_Short
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Exploits,SMB,unas,Other,Short,unas_Other_Short
Generic,TFTP,udp,Other,Short,udp_Other_Short
Reconnaissance,SunRPC Portmapper (UDP),udp,RPC,Short,udp_RPC_Short
Exploits,Browser,tcp,Ephemeral,Short,tcp_Ephemeral_Short
Exploits,Miscellaneous,merit-inp,Other,Short,merit-inp_Other_Short
Exploits,Miscellaneous,rvd,Other,Long,rvd_Other_Long
Exploits,Web Application,tcp,Web,Short,tcp_Web_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,RADIUS,idpr,Other,Short,idpr_Other_Short
DoS,Miscellaneous,igp,Other,Short,igp_Other_Short
Reconnaissance,HTTP,tcp,Web,Medium,tcp_Web_Medium
DoS,Miscellaneous,ospf,Other,Short,ospf_Other_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Miscellaneous,snp,Other,Short,snp_Other_Short
Shellcode,Mac OS X,tcp,Registered,Medium,tcp_Registered_Medium
Fuzzers,OSPF,ospf,Other,Long,ospf_Other_Long
Exploits,ICMP,i-nlsp,Other,Short,i-nlsp_Other_Short
Exploits,Miscellaneous,cpnx,Other,Short,cpnx_Other_Short
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
Exploits,Miscellaneous,ospf,Other,Short,ospf_Other_Short
Exploits,Miscellaneous,ttp,Other,Short,ttp_Other_Short
Exploits,Miscellaneous,ospf,Other,Short,ospf_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Browser,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Reconnaissance,ICMP,unas,Other,Short,unas_Other_Short
Backdoor,Unknown,unas,Other,Short,unas_Other_Short
Exploits,Clientside Microsoft,tcp,Mail,Medium,tcp_Mail_Medium
Fuzzers,OSPF,unas,Other,Short,unas_Other_Short
Reconnaissance,ICMP,unas,Other,Short,unas_Other_Short
Exploits,RTSP,unas,Other,Short,unas_Other_Short
Reconnaissance,ICMP,unas,Other,Short,unas_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,RPC,Medium,tcp_RPC_Medium
Fuzzers,OSPF,sctp,Other,Short,sctp_Other_Short
